Date,Open,High,Low,Close,Volume,Adj Close
2016-09-28,5.23,5.24,5.19,5.22,2445400,5.22
2016-09-27,5.18,5.24,5.18,5.24,2570700,5.24
2016-09-26,5.21,5.24,5.18,5.21,2774700,5.21
2016-09-23,5.25,5.27,5.22,5.26,2697500,5.26
2016-09-22,5.31,5.31,5.23,5.25,2736800,5.25
2016-09-21,5.28,5.29,5.22,5.25,2486800,5.25
2016-09-20,5.24,5.27,5.22,5.27,2342600,5.27
2016-09-19,5.22,5.28,5.22,5.26,1686600,5.26
2016-09-16,5.19,5.26,5.19,5.22,3139000,5.22
2016-09-15,5.18,5.21,5.16,5.18,8917700,5.18
2016-09-14,5.22,5.25,5.20,5.22,3872700,5.22
2016-09-13,5.28,5.31,5.22,5.22,6719700,5.22
2016-09-12,5.42,5.42,5.42,5.42,000,5.42
2016-09-09,5.47,5.48,5.41,5.42,2652300,5.42
2016-09-08,5.41,5.49,5.40,5.49,5506600,5.49
2016-09-07,5.41,5.45,5.37,5.41,5386300,5.41
2016-09-06,5.29,5.42,5.28,5.37,6980700,5.37
2016-09-05,5.25,5.29,5.23,5.27,5120100,5.27
2016-09-02,5.17,5.23,5.17,5.19,2389700,5.19
2016-09-01,5.17,5.22,5.16,5.19,3824400,5.19
2016-08-31,5.21,5.25,5.18,5.18,4455100,5.18
2016-08-30,5.33,5.33,5.22,5.23,4027700,5.23
2016-08-29,5.34,5.35,5.27,5.27,3139300,5.27
2016-08-26,5.40,5.40,5.35,5.37,4615500,5.37
2016-08-25,5.38,5.41,5.36,5.39,4591600,5.39
2016-08-24,5.39,5.42,5.35,5.40,4702100,5.40
2016-08-23,5.35,5.39,5.35,5.38,2653600,5.38
2016-08-22,5.33,5.39,5.31,5.37,4678800,5.37
2016-08-19,5.30,5.33,5.29,5.30,3430400,5.30
2016-08-18,5.24,5.30,5.24,5.28,2500100,5.28
2016-08-17,5.27,5.29,5.23,5.26,2842800,5.26
2016-08-16,5.35,5.35,5.28,5.30,2411000,5.30
2016-08-15,5.28,5.35,5.28,5.32,2523500,5.32
2016-08-12,5.32,5.32,5.25,5.26,3174100,5.26
2016-08-11,5.20,5.28,5.20,5.25,2162800,5.25
2016-08-10,5.25,5.33,5.25,5.25,3998700,5.25
2016-08-09,5.25,5.25,5.25,5.25,000,5.25
2016-08-08,5.23,5.29,5.21,5.25,3918300,5.25
2016-08-05,5.27,5.28,5.18,5.20,3845300,5.20
2016-08-04,5.25,5.27,5.21,5.27,3015600,5.27
2016-08-03,5.22,5.24,5.13,5.20,6509800,5.20
2016-08-02,5.29,5.33,5.22,5.26,3191800,5.26
2016-08-01,5.26,5.35,5.26,5.30,3555500,5.30
2016-07-29,5.25,5.31,5.25,5.25,6381400,5.25
2016-07-28,5.41,5.41,5.30,5.32,4776000,5.32
2016-07-27,5.39,5.43,5.37,5.41,2291400,5.41
